,Description,Address,Price,No of beds,No of baths,No of toilets
197,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
198,Fully Serviced 3 Bedroom Terrace with 1 BQ in a Serene Environment,"Behind Beachwood Estate, Lekki Epe Expressway Ibeju-Lekki Lagos",Not available,3 beds,4 baths,5 Toilets
199,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
200,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
201,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
202,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
203,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
204,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
205,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
206,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
207,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
208,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
209,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
210,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
211,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
212,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
213,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
214,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
215,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
216,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
217,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
218,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
219,WATERFRONT 3 BEDROOM APARTMENT +BQ ,Banana Island Estate Banana Island Ikoyi Lagos,Not available,3 beds,3 baths,4 Toilets
220,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
221,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
222,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
223,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
224,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
225,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
226,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
227,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
228,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
229,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
230,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
231,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
232,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
233,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
234,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
235,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
236,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
237,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
238,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
239,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
240,4 bedrooms Duplex + 2 bedrooms flat,"Alaba Street, Car Wash Bustop Oworo Oworonshoki Gbagada Lagos",Not available,4 beds,4 baths,5 Toilets
241,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
242,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
243,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
244,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
245,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
246,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
247,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
248,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
249,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
250,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
251,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
252,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
253,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
254,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
255,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
256,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
257,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
258,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
259,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
260,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
261,4 Hectares of Farm House for Sale,Gberigbe Town Ijede Ikorodu Lagos,Not available, beds, baths, Toilets
262,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
263,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
264,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
265,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
266,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
267,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
268,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
269,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
270,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
271,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
272,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
273,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
274,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
275,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
276,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
277,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
278,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
279,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
280,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
281,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
282,Lavishly Built 5 Bedroom Detached House ,"Cooper Road, Old Ikoyi Ikoyi Lagos",Not available,5 beds,5 baths,6 Toilets
283,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
284,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
285,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
286,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
287,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
288,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
289,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
290,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
291,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
292,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
293,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
294,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
295,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
296,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
297,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
298,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
299,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
300,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
301,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
302,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
303,Fully Furnished & Serviced 4 Bedroom Semi Detached Duplex,Brains & Hammers Estate Life Camp Abuja,Not available,4 beds,5 baths,5 Toilets
304,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
305,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
306,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
307,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
308,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
309,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
310,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
311,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
312,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
313,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
314,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
315,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
316,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
317,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
318,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
319,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
320,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
321,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
322,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
323,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
324,DRY LAND WITH C OF O,Gracias Morganite Ibeju-Lekki Lagos,Not available,0 beds,0 baths,0 Toilets
325,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
326,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
327,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
328,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
329,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
330,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
331,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
332,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
333,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
334,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
335,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
336,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
337,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
338,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
339,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
340,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
341,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
342,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
343,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
344,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
345,Well Finished 5 Bedroom Detached Duplex with Bq ,Megamound Estate Ikota Lekki Lagos,Not available,5 beds,6 baths,7 Toilets
346,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
347,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
348,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
349,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
350,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
351,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
352,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
353,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
354,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
355,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
356,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
357,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
358,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
359,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
360,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
361,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
362,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
363,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
364,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
365,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
366,Gionna Apartments (2 bedroom Apartments) ,Sangotedo Lagos,Not available,2 beds,0 baths,0 Toilets
367,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
368,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
369,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
370,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
371,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
372,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
373,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
374,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
375,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
376,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
377,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
378,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
379,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
380,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
381,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
382,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
383,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
384,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
385,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
386,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
387,Newly Built Two Bedroom Apartment ,Agungi Lekki Lagos,Not available,2 beds,2 baths,3 Toilets
388,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
389,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
390,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
391,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
392,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
393,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
394,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
395,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
